Date,Cumulative Deaths,Total Recovered
06/03/2020,8.135760451226034,653.066345181393
07/03/2020,10.115986363248233,812.0221364741313
08/03/2020,12.577085297056268,1009.5783476610025
09/03/2020,15.647240185897635,1256.024420699551
10/03/2020,19.48405652539502,1564.0115920556227
11/03/2020,24.275669655254696,1948.6417759156661
12/03/2020,30.244552668062234,2427.7732309049156
13/03/2020,37.66181430931041,3023.1682745976173
14/03/2020,46.870440241827716,3762.3588956956573
15/03/2020,58.31219782381774,4680.806442100921
16/03/2020,72.55313825238488,5823.948717349699
17/03/2020,90.30546262550514,7248.955203166791
18/03/2020,112.4444395559969,9026.085062458598
19/03/2020,140.03384589181147,11240.72930520959
20/03/2020,174.37348238303042,13997.224944433154
21/03/2020,217.07532698871992,17424.967939688362
22/03/2020,270.16644028928124,21686.673573408283
23/03/2020,336.2116062073086,26988.221010912228
24/03/2020,418.4386607058914,33588.7136285176
25/03/2020,520.8659493987171,41810.71023268858
26/03/2020,648.452014960266,52052.240699559814
27/03/2020,807.3003144638828,64803.23895173314
28/03/2020,1004.9519997255015,80669.04488850126
29/03/2020,1250.7932806737838,100403.10407251047
30/03/2020,1556.5699870665085,124948.27239318338
31/03/2020,1936.9859406686096,155484.84832529645
01/04/2020,2410.375915680434,193484.59250156136
02/04/2020,2999.48097741641,240772.96534543196
03/04/2020,3732.396214903061,299605.20302998275
04/04/2020,4643.805810707011,372765.4584398652
05/04/2020,5776.608224308271,463697.2571498568
06/04/2020,7183.979424664969,576669.1162883219
07/04/2020,8931.865510752417,716974.6310363198
08/04/2020,11101.874894124929,891164.6345871765
09/04/2020,13794.564989408633,1107311.0258667702
10/04/2020,17133.21728985912,1375309.8006770054
