Date,NewCase,CumCases,NewDeaths,Deaths
25/01/2020,0,0,0,0
26/01/2020,0,0,0,0
27/01/2020,0,0,0,0
28/01/2020,0,0,0,0
29/01/2020,0,0,0,0
30/01/2020,6.103703970000006,6.103703970000006,0,0
31/01/2020,12.207407940000012,18.31111191000002,0,0
01/02/2020,12.207407940000012,30.51851985000003,0,0
02/02/2020,12.207407940000012,42.72592779000005,0,0
03/02/2020,6.60725880730585,49.333186597305904,0,0
04/02/2020,7.049767073434424,56.38295367074033,0,0
05/02/2020,15.10663912687976,71.48959279762009,0,0
06/02/2020,23.16350067663803,94.65309347425813,0,0
07/02/2020,30.716792061049624,125.36988553530773,0,0
08/02/2020,33.385593701382675,158.7554792366904,0,0
09/02/2020,33.48625957324651,192.24173880993692,0,0
10/02/2020,37.39376659698052,229.63550540691745,0,0
11/02/2020,46.61874339229119,276.25424879920865,0,0
12/02/2020,60.208619953744915,336.4628687529536,0,0
13/02/2020,79.11191654441276,415.5747852973664,0,0
14/02/2020,95.25842814734979,510.8332134447162,0.21034302912000002,0.21034302912000002
15/02/2020,109.98232537708432,620.8155388218005,0.21034302912000002,0.42068605824000016
16/02/2020,126.60099730869666,747.4165361304972,0.21034302912000002,0.6310290873600003
17/02/2020,149.789671155783,897.2062072862802,0.21034302912000002,0.8413721164800004
18/02/2020,184.08587497694882,1081.292082263229,0.032662377828774285,0.8740344943087748
19/02/2020,227.78697474424223,1309.0790570074716,0.11976202970269714,0.9937965240114719
20/02/2020,277.6319906973461,1586.7110477048175,0.2068615997141346,1.2006581237256067
21/02/2020,332.4807179640267,1919.1917656688443,0.2939610244857773,1.4946191482113838
22/02/2020,394.9260808903407,2314.117846559185,0.351990793189992,1.8466099414013757
23/02/2020,470.4663687147802,2784.5842152739656,0.3624423047943698,2.2090522461957454
24/02/2020,566.3690083244481,3350.953223598414,0.3759421417219836,2.5849943879177286
25/02/2020,686.3162004135197,4037.269424011934,0.44692720625416454,3.031921594171893
26/02/2020,831.944470139249,4869.213894151183,0.5719524621226744,3.6038740562945675
27/02/2020,1003.5613642017554,5872.775258352939,0.7503470724233136,4.354221128717882
28/02/2020,1204.6322266369286,7077.407484989867,0.9468176492891993,5.301038778007081
29/02/2020,1444.3170563899414,8521.724541379808,1.1089390082186048,6.409977786225686
01/03/2020,1735.3306949502635,10257.05523633007,1.2745025873752858,7.684480373600971
02/03/2020,2090.8834451768143,12347.938681506885,1.479776234128811,9.164256607729785
03/03/2020,2522.5248288662706,14870.463510373154,1.7899386015107583,10.954195209240545
04/03/2020,3041.0831908178825,17911.546701191037,2.2161439076594083,13.170339116899953
05/03/2020,3660.4925434373677,21572.039244628402,2.725132998074325,15.895472114974277
06/03/2020,4401.550032602979,25973.58927723138,3.289910489040427,19.185382604014706
07/03/2020,5292.60055210461,31266.189829335988,3.919435558866983,23.104818162881685
08/03/2020,6368.613279439013,37634.803108775006,4.654228960805529,27.759047123687214
09/03/2020,7668.38370757661,45303.18681635161,5.573545203608168,33.33259232729538
